Tree Node,Color,Label
Pithoviridae_LT994651_Brazilian_cedratvirus_IHUMI_strain_IHUMI_27_7,#800080,Pimascovirales
Pithoviridae_MK072489_Solivirus_sp_clone_Solivirus_1,#800080,Pimascovirales
Pithoviridae_MK072498_Solumvirus_sp_clone_Solumvirus_1,#800080,Pimascovirales
Schulz_GVMAG_M_3300006802_11,#800080,Pimascovirales
Schulz_GVMAG_M_3300025138_2,#800080,Pimascovirales
Moniruzzaman_EP04_SRX802073_108_dc,#007FFF,Pandoravirales
Schulz_GVMAG_S_1102110_105,#007FFF,Pandoravirales
TARA_AON_NCLDV_00019,#007FFF,Pandoravirales
TARA_ARC_NCLDV_00182,#007FFF,Pandoravirales
TARA_PSW_NCLDV_00034,#007FFF,Pandoravirales
Moniruzzaman_EP06_ERX552244_11_dc,#007FFF,Pandoravirales
Phycodnaviridae_KF481685_Emiliania_huxleyi_virus_18,#007FFF,Pandoravirales
Schulz_GVMAG_S_3300010368_40,#007FFF,Pandoravirales
TARA_AOS_NCLDV_00002,#007FFF,Pandoravirales
TARA_AOS_NCLDV_00025,#007FFF,Pandoravirales
Poxviridae_AF063866_Melanoplus_sanguinipes_entomopoxvirus_Tucson,#808080,Chitovirales
Poxviridae_AF170722_Rabbit_fibroma_virus,#808080,Chitovirales
Poxviridae_AF198100_Fowlpox_virus,#808080,Chitovirales
Poxviridae_AF250284_Amsacta_moorei_entomopoxvirus,#808080,Chitovirales
Poxviridae_AF325528_Lumpy_skin_disease_virus_NI_2490_isolate_Neethling_2490,#808080,Chitovirales
Poxviridae_AF410153_Swinepox_virus_isolate_17077_99,#808080,Chitovirales
Poxviridae_AY318871_Canarypox_virus_strain_ATCC_VR_111,#808080,Chitovirales
Poxviridae_AY386371_Yaba_monkey_tumor_virus,#808080,Chitovirales
Poxviridae_HE601899_Squirrel_poxvirus_strain_Red_squirrel,#808080,Chitovirales
Poxviridae_HF679134_Mythimna_separata_entomopoxvirus,#808080,Chitovirales
